c
c
c
c
c
20 400
0 0 0
0 1 80
0 2 56
0 3 19
0 4 87
0 5 29
0 6 68
0 7 1
0 8 8
0 9 47
0 10 46
0 11 24
0 12 12
0 13 19
0 14 26
0 15 93
0 16 88
0 17 66
0 18 34
0 19 58
1 0 32
1 1 0
1 2 68
1 3 72
1 4 7
1 5 34
1 6 3
1 7 24
1 8 56
1 9 25
1 10 51
1 11 49
1 12 22
1 13 66
1 14 75
1 15 24
1 16 52
1 17 52
1 18 93
1 19 41
2 0 58
2 1 30
2 2 0
2 3 27
2 4 21
2 5 24
2 6 35
2 7 44
2 8 74
2 9 36
2 10 79
2 11 16
2 12 20
2 13 43
2 14 10
2 15 20
2 16 17
2 17 90
2 18 84
2 19 73
3 0 58
3 1 57
3 2 33
3 3 0
3 4 50
3 5 51
3 6 73
3 7 53
3 8 52
3 9 5
3 10 65
3 11 99
3 12 89
3 13 46
3 14 25
3 15 93
3 16 37
3 17 37
3 18 31
3 19 54
4 0 38
4 1 22
4 2 10
4 3 60
4 4 0
4 5 51
4 6 17
4 7 23
4 8 7
4 9 71
4 10 19
4 11 96
4 12 78
4 13 61
4 14 93
4 15 94
4 16 96
4 17 10
4 18 15
4 19 79
5 0 56
5 1 90
5 2 31
5 3 47
5 4 71
5 5 0
5 6 83
5 7 33
5 8 65
5 9 61
5 10 79
5 11 58
5 12 71
5 13 22
5 14 28
5 15 41
5 16 92
5 17 87
5 18 25
5 19 72
6 0 20
6 1 65
6 2 2
6 3 14
6 4 77
6 5 7
6 6 0
6 7 3
6 8 24
6 9 96
6 10 85
6 11 90
6 12 44
6 13 85
6 14 10
6 15 91
6 16 8
6 17 1
6 18 44
6 19 15
7 0 38
7 1 17
7 2 90
7 3 71
7 4 3
7 5 27
7 6 76
7 7 0
7 8 82
7 9 80
7 10 83
7 11 57
7 12 60
7 13 41
7 14 58
7 15 15
7 16 48
7 17 86
7 18 86
7 19 88
8 0 90
8 1 24
8 2 98
8 3 36
8 4 61
8 5 89
8 6 72
8 7 99
8 8 0
8 9 6
8 10 99
8 11 23
8 12 72
8 13 51
8 14 48
8 15 99
8 16 76
8 17 10
8 18 23
8 19 98
9 0 67
9 1 51
9 2 75
9 3 72
9 4 2
9 5 55
9 6 13
9 7 33
9 8 2
9 9 0
9 10 14
9 11 28
9 12 35
9 13 97
9 14 5
9 15 45
9 16 7
9 17 12
9 18 2
9 19 88
10 0 30
10 1 22
10 2 61
10 3 43
10 4 93
10 5 24
10 6 35
10 7 84
10 8 54
10 9 44
10 10 0
10 11 84
10 12 3
10 13 82
10 14 61
10 15 96
10 16 25
10 17 67
10 18 80
10 19 37
11 0 89
11 1 43
11 2 30
11 3 7
11 4 8
11 5 12
11 6 92
11 7 20
11 8 58
11 9 2
11 10 36
11 11 0
11 12 70
11 13 42
11 14 78
11 15 87
11 16 1
11 17 92
11 18 24
11 19 39
12 0 41
12 1 58
12 2 92
12 3 22
12 4 43
12 5 81
12 6 47
12 7 61
12 8 92
12 9 15
12 10 88
12 11 24
12 12 0
12 13 40
12 14 31
12 15 65
12 16 97
12 17 36
12 18 54
12 19 9
13 0 47
13 1 19
13 2 31
13 3 60
13 4 49
13 5 90
13 6 97
13 7 11
13 8 64
13 9 90
13 10 76
13 11 71
13 12 73
13 13 0
13 14 91
13 15 69
13 16 34
13 17 75
13 18 65
13 19 6
14 0 50
14 1 97
14 2 77
14 3 27
14 4 65
14 5 46
14 6 32
14 7 25
14 8 38
14 9 66
14 10 97
14 11 96
14 12 74
14 13 3
14 14 0
14 15 45
14 16 3
14 17 83
14 18 93
14 19 24
15 0 65
15 1 84
15 2 21
15 3 37
15 4 8
15 5 3
15 6 69
15 7 83
15 8 14
15 9 54
15 10 45
15 11 87
15 12 31
15 13 13
15 14 50
15 15 0
15 16 54
15 17 62
15 18 51
15 19 30
16 0 53
16 1 69
16 2 62
16 3 25
16 4 10
16 5 3
16 6 67
16 7 97
16 8 89
16 9 19
16 10 98
16 11 46
16 12 6
16 13 28
16 14 63
16 15 78
16 16 0
16 17 57
16 18 47
16 19 42
17 0 17
17 1 14
17 2 74
17 3 94
17 4 37
17 5 56
17 6 2
17 7 80
17 8 35
17 9 69
17 10 16
17 11 66
17 12 94
17 13 82
17 14 65
17 15 15
17 16 46
17 17 0
17 18 78
17 19 54
18 0 53
18 1 43
18 2 95
18 3 35
18 4 99
18 5 26
18 6 65
18 7 48
18 8 54
18 9 75
18 10 21
18 11 4
18 12 89
18 13 94
18 14 23
18 15 76
18 16 51
18 17 77
18 18 0
18 19 49
19 0 57
19 1 60
19 2 43
19 3 20
19 4 7
19 5 18
19 6 51
19 7 50
19 8 32
19 9 22
19 10 42
19 11 54
19 12 47
19 13 57
19 14 17
19 15 10
19 16 19
19 17 87
19 18 78
19 19 0
