c
c
c
c
c
14 196
0 0 0
0 1 93
0 2 52
0 3 66
0 4 51
0 5 41
0 6 91
0 7 90
0 8 33
0 9 50
0 10 27
0 11 71
0 12 93
0 13 47
1 0 28
1 1 0
1 2 96
1 3 59
1 4 97
1 5 75
1 6 19
1 7 84
1 8 60
1 9 57
1 10 34
1 11 60
1 12 79
1 13 24
2 0 47
2 1 78
2 2 0
2 3 84
2 4 70
2 5 47
2 6 78
2 7 30
2 8 46
2 9 12
2 10 68
2 11 63
2 12 45
2 13 39
3 0 74
3 1 27
3 2 46
3 3 0
3 4 79
3 5 54
3 6 57
3 7 8
3 8 86
3 9 53
3 10 38
3 11 40
3 12 24
3 13 48
4 0 69
4 1 52
4 2 45
4 3 9
4 4 0
4 5 87
4 6 16
4 7 47
4 8 39
4 9 10
4 10 88
4 11 64
4 12 50
4 13 82
5 0 43
5 1 87
5 2 41
5 3 41
5 4 17
5 5 0
5 6 67
5 7 29
5 8 56
5 9 90
5 10 22
5 11 45
5 12 99
5 13 10
6 0 56
6 1 37
6 2 76
6 3 9
6 4 93
6 5 68
6 6 0
6 7 4
6 8 64
6 9 17
6 10 14
6 11 40
6 12 19
6 13 2
7 0 48
7 1 89
7 2 69
7 3 92
7 4 14
7 5 14
7 6 85
7 7 0
7 8 46
7 9 39
7 10 18
7 11 27
7 12 78
7 13 47
8 0 55
8 1 64
8 2 55
8 3 74
8 4 64
8 5 78
8 6 69
8 7 59
8 8 0
8 9 25
8 10 94
8 11 15
8 12 31
8 13 63
9 0 41
9 1 27
9 2 88
9 3 65
9 4 46
9 5 52
9 6 21
9 7 70
9 8 27
9 9 0
9 10 60
9 11 77
9 12 1
9 13 63
10 0 88
10 1 88
10 2 85
10 3 69
10 4 9
10 5 80
10 6 34
10 7 68
10 8 41
10 9 56
10 10 0
10 11 82
10 12 16
10 13 93
11 0 39
11 1 79
11 2 79
11 3 57
11 4 65
11 5 14
11 6 4
11 7 23
11 8 52
11 9 13
11 10 2
11 11 0
11 12 72
11 13 51
12 0 45
12 1 22
12 2 50
12 3 34
12 4 26
12 5 24
12 6 77
12 7 34
12 8 36
12 9 37
12 10 19
12 11 16
12 12 0
12 13 29
13 0 64
13 1 7
13 2 63
13 3 8
13 4 82
13 5 40
13 6 32
13 7 4
13 8 93
13 9 85
13 10 72
13 11 24
13 12 58
13 13 0
