c
c
c
c
c
30 900
0 0 0
0 1 34
0 2 83
0 3 7
0 4 53
0 5 30
0 6 57
0 7 7
0 8 50
0 9 35
0 10 90
0 11 62
0 12 65
0 13 37
0 14 77
0 15 18
0 16 57
0 17 57
0 18 30
0 19 97
0 20 70
0 21 90
0 22 19
0 23 33
0 24 2
0 25 31
0 26 14
0 27 3
0 28 58
0 29 66
1 0 5
1 1 0
1 2 23
1 3 62
1 4 9
1 5 94
1 6 16
1 7 44
1 8 96
1 9 22
1 10 81
1 11 52
1 12 66
1 13 27
1 14 36
1 15 15
1 16 93
1 17 37
1 18 35
1 19 47
1 20 25
1 21 23
1 22 41
1 23 42
1 24 47
1 25 69
1 26 37
1 27 4
1 28 18
1 29 15
2 0 60
2 1 27
2 2 0
2 3 90
2 4 86
2 5 21
2 6 21
2 7 50
2 8 3
2 9 20
2 10 64
2 11 81
2 12 81
2 13 36
2 14 18
2 15 3
2 16 76
2 17 58
2 18 46
2 19 57
2 20 11
2 21 69
2 22 40
2 23 23
2 24 42
2 25 90
2 26 9
2 27 15
2 28 78
2 29 45
3 0 65
3 1 69
3 2 84
3 3 0
3 4 63
3 5 15
3 6 49
3 7 74
3 8 40
3 9 71
3 10 4
3 11 98
3 12 15
3 13 2
3 14 47
3 15 10
3 16 34
3 17 97
3 18 46
3 19 87
3 20 80
3 21 12
3 22 79
3 23 23
3 24 57
3 25 77
3 26 86
3 27 25
3 28 83
3 29 99
4 0 90
4 1 60
4 2 62
4 3 98
4 4 0
4 5 68
4 6 12
4 7 60
4 8 8
4 9 99
4 10 79
4 11 38
4 12 73
4 13 5
4 14 95
4 15 13
4 16 40
4 17 50
4 18 37
4 19 28
4 20 33
4 21 98
4 22 25
4 23 19
4 24 82
4 25 95
4 26 55
4 27 8
4 28 51
4 29 98
5 0 13
5 1 23
5 2 28
5 3 89
5 4 14
5 5 0
5 6 83
5 7 92
5 8 11
5 9 40
5 10 87
5 11 51
5 12 77
5 13 63
5 14 17
5 15 2
5 16 14
5 17 52
5 18 33
5 19 42
5 20 26
5 21 16
5 22 85
5 23 56
5 24 57
5 25 43
5 26 66
5 27 29
5 28 49
5 29 79
6 0 67
6 1 92
6 2 26
6 3 28
6 4 23
6 5 59
6 6 0
6 7 93
6 8 63
6 9 54
6 10 68
6 11 7
6 12 45
6 13 40
6 14 35
6 15 23
6 16 25
6 17 28
6 18 65
6 19 31
6 20 27
6 21 4
6 22 31
6 23 62
6 24 21
6 25 68
6 26 42
6 27 92
6 28 21
6 29 67
7 0 73
7 1 43
7 2 29
7 3 10
7 4 27
7 5 43
7 6 64
7 7 0
7 8 55
7 9 82
7 10 84
7 11 32
7 12 54
7 13 64
7 14 25
7 15 14
7 16 53
7 17 89
7 18 50
7 19 3
7 20 97
7 21 12
7 22 41
7 23 80
7 24 61
7 25 81
7 26 10
7 27 70
7 28 18
7 29 27
8 0 56
8 1 26
8 2 54
8 3 12
8 4 64
8 5 9
8 6 55
8 7 34
8 8 0
8 9 16
8 10 66
8 11 16
8 12 24
8 13 65
8 14 88
8 15 4
8 16 84
8 17 63
8 18 98
8 19 74
8 20 83
8 21 34
8 22 86
8 23 19
8 24 73
8 25 16
8 26 83
8 27 67
8 28 33
8 29 27
9 0 87
9 1 53
9 2 40
9 3 67
9 4 41
9 5 21
9 6 96
9 7 30
9 8 43
9 9 0
9 10 12
9 11 86
9 12 73
9 13 36
9 14 14
9 15 6
9 16 80
9 17 34
9 18 57
9 19 5
9 20 17
9 21 88
9 22 18
9 23 31
9 24 96
9 25 50
9 26 22
9 27 92
9 28 97
9 29 50
10 0 63
10 1 89
10 2 29
10 3 85
10 4 92
10 5 35
10 6 4
10 7 51
10 8 35
10 9 90
10 10 0
10 11 86
10 12 76
10 13 78
10 14 2
10 15 98
10 16 5
10 17 44
10 18 77
10 19 27
10 20 96
10 21 43
10 22 73
10 23 54
10 24 57
10 25 88
10 26 89
10 27 55
10 28 19
10 29 83
11 0 79
11 1 38
11 2 30
11 3 70
11 4 64
11 5 92
11 6 55
11 7 64
11 8 18
11 9 67
11 10 75
11 11 0
11 12 96
11 13 29
11 14 71
11 15 87
11 16 39
11 17 96
11 18 21
11 19 25
11 20 99
11 21 48
11 22 73
11 23 43
11 24 48
11 25 22
11 26 19
11 27 37
11 28 30
