c
c
c
c
c
60 3600
0 0 0
0 1 39
0 2 96
0 3 66
0 4 75
0 5 86
0 6 33
0 7 89
0 8 87
0 9 87
0 10 9
0 11 84
0 12 70
0 13 40
0 14 27
0 15 69
0 16 40
0 17 86
0 18 9
0 19 40
0 20 72
0 21 16
0 22 89
0 23 45
0 24 15
0 25 9
0 26 69
0 27 76
0 28 78
0 29 93
0 30 9
0 31 48
0 32 13
0 33 46
0 34 76
0 35 64
0 36 25
0 37 7
0 38 99
0 39 44
0 40 68
0 41 52
0 42 86
0 43 23
0 44 25
0 45 63
0 46 83
0 47 72
0 48 30
0 49 74
0 50 98
0 51 66
0 52 19
0 53 94
0 54 14
0 55 6
0 56 15
0 57 89
0 58 45
0 59 17
1 0 39
1 1 0
1 2 63
1 3 10
1 4 43
1 5 95
1 6 52
1 7 69
1 8 76
1 9 16
1 10 12
1 11 95
1 12 77
1 13 54
1 14 50
1 15 60
1 16 62
1 17 29
1 18 23
1 19 65
1 20 80
1 21 1
1 22 75
1 23 88
1 24 59
1 25 41
1 26 33
1 27 79
1 28 82
1 29 77
1 30 86
1 31 24
1 32 37
1 33 7
1 34 42
1 35 72
1 36 97
1 37 85
1 38 58
1 39 79
1 40 6
1 41 79
1 42 39
1 43 34
1 44 18
1 45 94
1 46 65
1 47 11
1 48 32
1 49 15
1 50 41
1 51 43
1 52 13
1 53 51
1 54 61
1 55 59
1 56 53
1 57 92
1 58 9
1 59 23
2 0 81
2 1 35
2 2 0
2 3 79
2 4 48
2 5 28
2 6 76
2 7 74
2 8 34
2 9 30
2 10 29
2 11 23
2 12 78
2 13 43
2 14 82
2 15 83
2 16 85
2 17 17
2 18 27
2 19 51
2 20 4
2 21 4
2 22 64
2 23 62
2 24 20
2 25 23
2 26 52
2 27 16
2 28 14
2 29 25
2 30 26
2 31 35
2 32 53
2 33 32
2 34 63
2 35 39
2 36 15
2 37 81
2 38 5
2 39 46
2 40 75
2 41 33
2 42 1
2 43 68
2 44 67
2 45 26
2 46 26
2 47 17
2 48 28
2 49 45
2 50 12
2 51 34
2 52 65
2 53 42
2 54 41
2 55 95
2 56 91
2 57 94
2 58 20
2 59 20
3 0 98
3 1 53
3 2 7
3 3 0
3 4 96
3 5 99
3 6 46
3 7 7
3 8 10
3 9 26
3 10 70
3 11 20
3 12 79
3 13 53
3 14 12
3 15 15
3 16 22
3 17 60
3 18 58
3 19 6
3 20 62
3 21 64
3 22 25
3 23 22
3 24 1
3 25 87
3 26 67
3 27 53
3 28 90
3 29 22
3 30 20
3 31 95
3 32 43
3 33 96
3 34 79
3 35 3
3 36 91
3 37 67
3 38 90
3 39 91
3 40 85
3 41 19
3 42 87
3 43 49
3 44 78
3 45 86
3 46 32
3 47 94
3 48 44
3 49 31
3 50 18
3 51 76
3 52 50
3 53 91
3 54 90
3 55 4
3 56 23
3 57 20
3 58 87
3 59 33
4 0 93
4 1 11
4 2 88
4 3 90
4 4 0
4 5 66
4 6 6
4 7 98
4 8 77
4 9 73
4 10 74
4 11 52
4 12 16
4 13 36
4 14 65
4 15 94
4 16 28
4 17 31
4 18 30
4 19 1
4 20 2
4 21 26
4 22 77
4 23 95
4 24 92
4 25 81
4 26 21
4 27 75
4 28 26
4 29 99
4 30 68
4 31 46
4 32 44
4 33 61
4 34 3
4 35 98
4 36 78
4 37 23
4 38 4
4 39 4
4 40 39
4 41 89
4 42 87
4 43 61
4 44 52
4 45 61
4 46 45
4 47 45
4 48 53
4 49 32
4 50 25
4 51 24
4 52 4
4 53 24
4 54 1
4 55 65
4 56 32
4 57 13
4 58 72
4 59 17
5 0 28
5 1 62
5 2 42
5 3 95
5 4 32
5 5 0
5 6 76
5 7 82
5 8 70
5 9 12
5 10 91
5 11 1
5 12 50
5 13 85
5 14 41
5 15 17
5 16 90
5 17 14
5 18 40
5 19 86
5 20 77
5 21 22
5 22 91
5 23 59
5 24 71
5 25 40
5 26 41
5 27 45
5 28 10
5 29 89
5 30 87
5 31 37
5 32 54
5 33 88
5 34 32
5 35 7
5 36 44
5 37 26
5 38 1
5 39 64
5 40 96
5 41 1
5 42 63
5 43 43
5 44 59
5 45 5
5 46 31
5 47 21
5 48 44
5 49 65
5 50 65
5 51 6
5 52 82
5 53 42
5 54 11
5 55 81
5 56 99
5 57 86
5 58 67
5 59 38
6 0 11
6 1 68
6 2 14
6 3 28
6 4 27
6 5 93
6 6 0
6 7 37
6 8 86
6 9 46
6 10 75
6 11 19
6 12 37
6 13 11
6 14 84
6 15 4
6 16 11
6 17 83
6 18 85
6 19 97
6 20 98
6 21 70
6 22 64
6 23 55
6 24 22
6 25 14
6 26 7
6 27 73
6 28 83
6 29 61
6 30 59
6 31 49
6 32 53
6 33 11
6 34 28
6 35 54
6 36 65
6 37 31
6 38 12
6 39 36
6 40 80
6 41 78
6 42 19
6 43 13
6 44 54
6 45 85
6 46 19
6 47 68
6 48 52
6 49 7
6 50 75
6 51 20
6 52 98
6 53 69
6 54 92
6 55 92
6 56 51
6 57 43
6 58 35
6 59 42
7 0 82
7 1 65
7 2 53
7 3 81
7 4 48
7 5 77
7 6 69
7 7 0
7 8 60
7 9 59
7 10 84
7 11 82
7 12 70
7 13 15
7 14 81
7 15 97
7 16 70
7 17 82
7 18 74
7 19 27
7 20 7
7 21 49
7 22 49
7 23 52
7 24 88
7 25 70
7 26 34
7 27 35
7 28 65
7 29 16
7 30 5
7 31 17
7 32 34
7 33 93
7 34 95
7 35 87
7 36 75
7 37 16
7 38 31
7 39 49
7 40 89
7 41 61
7 42 60
7 43 11
7 44 92
7 45 8
7 46 80
7 47 44
7 48 99
7 49 64
7 50 15
7 51 91
7 52 39
7 53 48
7 54 67
7 55 31
7 56 58
7 57 24
7 58 45
7 59 53
8 0 62
8 1 8
8 2 23
8 3 32
8 4 48
8 5 6
8 6 6
8 7 73
8 8 0
8 9 90
8 10 38
8 11 85
8 12 49
8 13 22
8 14 54
8 15 91
8 16 96
8 17 74
8 18 91
8 19 53
8 20 10
8 21 26
8 22 67
8 23 41
8 24 66
8 25 99
8 26 97
8 27 77
8 28 80
8 29 12
8 30 51
8 31 55
8 32 77
8 33 43
8 34 69
8 35 47
8 36 56
8 37 48
8 38 25
8 39 21
8 40 51
8 41 83
8 42 24
8 43 69
8 44 38
8 45 40
8 46 55
8 47 38
8 48 57
8 49 38
8 50 11
8 51 24
8 52 11
8 53 72
8 54 38
8 55 72
8 56 45
8 57 9
8 58 45
8 59 32
9 0 39
9 1 43
9 2 54
9 3 30
9 4 47
9 5 35
9 6 80
9 7 35
9 8 89
9 9 0
9 10 71
9 11 24
9 12 62
9 13 69
9 14 19
9 15 62
9 16 60
9 17 71
9 18 68
9 19 9
9 20 32
9 21 43
9 22 74
9 23 89
9 24 44
9 25 27
9 26 22
9 27 61
9 28 6
9 29 74
9 30 36
9 31 54
9 32 25
9 33 18
9 34 26
9 35 86
9 36 54
9 37 29
9 38 59
9 39 66
9 40 96
9 41 17
9 42 46
9 43 92
9 44 93
9 45 33
9 46 70
9 47 31
9 48 83
9 49 48
9 50 90
9 51 55
9 52 79
9 53 12
9 54 59
9 55 12
9 56 10
9 57 76
9 58 45
9 59 58
10 0 6
10 1 20
10 2 39
10 3 97
10 4 22
10 5 91
10 6 10
10 7 45
10 8 48
10 9 11
10 10 0
10 11 66
10 12 14
10 13 2
10 14 38
10 15 58
10 16 16
10 17 22
10 18 13
10 19 26
10 20 90
10 21 75
10 22 92
10 23 74
10 24 44
10 25 42
10 26 27
10 27 56
10 28 79
10 29 66
10 30 23
10 31 74
10 32 38
10 33 12
10 34 26
10 35 27
10 36 2
10 37 99
10 38 51
10 39 59
10 40 70
10 41 93
10 42 13
10 43 45
10 44 69
10 45 1
10 46 92
10 47 38
10 48 91
10 49 31
10 50 51
10 51 79
10 52 29
10 53 33
10 54 12
10 55 15
10 56 74
10 57 22
10 58 69
10 59 13
11 0 4
11 1 51
11 2 77
11 3 82
11 4 82
11 5 61
11 6 69
11 7 60
11 8 86
11 9 63
11 10 61
11 11 0
11 12 7
11 13 90
11 14 72
11 15 16
11 16 13
11 17 48
11 18 11
11 19 59
11 20 93
11 21 49
11 22 64
11 23 39
11 24 91
11 25 29
11 26 74
11 27 58
11 28 3
11 29 45
11 30 48
11 31 65
11 32 15
11 33 2
11 34 29
11 35 21
11 36 79
11 37 45
11 38 81
11 39 31
11 40 27
11 41 8
11 42 96
11 43 16
11 44 86
11 45 90
11 46 8
11 47 51
11 48 30
11 49 66
11 50 64
11 51 38
11 52 37
11 53 23
11 54 35
11 55 44
11 56 99
11 57 78
11 58 26
11 59 64
12 0 61
12 1 30
12 2 63
12 3 98
12 4 97
12 5 16
12 6 77
12 7 85
12 8 11
12 9 93
12 10 61
12 11 77
12 12 0
12 13 62
12 14 77
12 15 49
12 16 51
12 17 3
12 18 30
12 19 21
12 20 7
12 21 15
12 22 43
12 23 42
12 24 35
12 25 22
12 26 82
12 27 14
12 28 54
12 29 50
12 30 60
12 31 82
12 32 54
12 33 94
12 34 59
12 35 30
12 36 97
12 37 45
12 38 48
12 39 36
12 40 56
12 41 6
12 42 57
12 43 32
12 44 71
12 45 89
12 46 3
12 47 69
12 48 48
12 49 59
12 50 38
12 51 79
12 52 8
12 53 57
12 54 94
12 55 49
12 56 64
12 57 24
12 58 81
12 59 67
13 0 64
13 1 44
13 2 54
13 3 95
13 4 23
13 5 35
13 6 83
13 7 93
13 8 85
13 9 55
13 10 65
13 11 78
13 12 54
13 13 0
13 14 20
13 15 75
13 16 15
13 17 49
13 18 24
13 19 62
13 20 95
13 21 77
13 22 73
13 23 28
13 24 47
13 25 49
13 26 91
13 27 84
13 28 42
13 29 54
13 30 92
13 31 9
13 32 18
13 33 12
13 34 53
13 35 42
13 36 50
13 37 93
13 38 33
13 39 15
13 40 91
13 41 7
13 42 3
13 43 82
13 44 50
13 45 25
13 46 53
13 47 94
13 48 58
13 49 5
13 50 5
13 51 61
13 52 14
13 53 9
13 54 21
13 55 48
13 56 17
13 57 60
13 58 99
13 59 64
14 0 18
14 1 58
14 2 33
14 3 9
14 4 45
14 5 56
14 6 87
14 7 81
14 8 30
14 9 86
14 10 61
14 11 46
14 12 79
14 13 55
14 14 0
14 15 14
14 16 84
14 17 98
14 18 63
14 19 94
14 20 32
14 21 83
14 22 21
14 23 60
14 24 46
14 25 20
14 26 11
14 27 36
14 28 54
14 29 39
14 30 84
14 31 69
14 32 48
14 33 11
14 34 10
14 35 17
14 36 88
14 37 99
14 38 57
14 39 44
14 40 46
14 41 4
14 42 16
14 43 54
14 44 74
14 45 2
